id_planta,descripcion,estado,fecha_alta,fecha_baja,fecha_ultima_modificacion,id_edificio,cod_dominio,id_usuario
1363,Piso 1 ,A,2018-01-23 15:29:11,,2018-01-23 15:29:11,1361,2.16.840.1.113883.2.10.27,1
1388,PB,A,2018-01-23 16:38:44,,2018-01-23 16:38:44,1387,2.16.840.1.113883.2.10.27,1
1408,PB,A,2018-01-23 17:24:15,,2018-01-23 17:24:15,1407,2.16.840.1.113883.2.10.27,1
1435,PB,A,2018-01-24 17:05:10,,2018-01-24 17:05:10,1434,2.16.840.1.113883.2.10.27,1
1451,PB,A,2018-01-25 14:36:04,,2018-01-25 14:36:04,1450,2.16.840.1.113883.2.10.27,1
1452,Primer Piso,A,2018-01-25 14:36:40,,2018-01-25 14:36:40,1450,2.16.840.1.113883.2.10.27,1
4174,primer piso,A,2019-12-17 13:15:40,,2019-12-17 13:15:40,1466,2.16.840.1.113883.2.10.27,1
1505,PB ,A,2018-01-25 17:43:26,,2018-01-25 17:43:26,1504,2.16.840.1.113883.2.10.27,1
1506,Primer Piso,A,2018-01-25 17:44:07,,2018-01-25 17:44:07,1504,2.16.840.1.113883.2.10.27,1
1530,PB,A,2018-01-26 14:36:06,,2018-01-26 14:36:06,1529,2.16.840.1.113883.2.10.27,1
1531,Primer Piso,A,2018-01-26 14:36:25,,2018-01-26 14:36:25,1529,2.16.840.1.113883.2.10.27,1
1551,PB,A,2018-01-26 15:14:39,,2018-01-26 15:14:39,1550,2.16.840.1.113883.2.10.27,1
1567,PB,A,2018-01-26 15:31:57,,2018-01-26 15:31:57,1566,2.16.840.1.113883.2.10.27,1
1580,Primer Piso,A,2018-01-26 16:17:03,,2018-01-26 16:17:03,1566,2.16.840.1.113883.2.10.27,1
1602,PB,A,2018-01-26 16:56:41,,2018-01-26 16:56:41,1601,2.16.840.1.113883.2.10.27,1
1630,PB,A,2018-01-26 17:43:26,,2018-01-26 17:43:26,1629,2.16.840.1.113883.2.10.27,1
1653,PB,A,2018-01-29 14:18:54,,2018-01-29 14:18:54,1652,2.16.840.1.113883.2.10.27,1
3405,Primer Piso,A,2019-10-18 11:02:09,,2019-10-18 11:38:18,1652,2.16.840.1.113883.2.10.27,1
1672,PB,A,2018-01-29 14:48:47,,2018-01-29 14:48:47,1671,2.16.840.1.113883.2.10.27,1
1692,PB,A,2018-01-29 15:36:40,,2018-01-29 15:36:40,1691,2.16.840.1.113883.2.10.27,1
1693,Primer Piso,A,2018-01-29 15:36:56,,2018-01-29 15:36:56,1691,2.16.840.1.113883.2.10.27,1
1722,PB,A,2018-01-29 16:11:15,,2018-01-29 16:11:15,1721,2.16.840.1.113883.2.10.27,1
1723,Primer Piso,A,2018-01-29 16:11:30,,2018-01-29 16:11:30,1721,2.16.840.1.113883.2.10.27,1
1724,Segundo Piso,A,2018-01-29 16:11:46,,2018-01-29 16:11:46,1721,2.16.840.1.113883.2.10.27,1
1749,PB,A,2018-01-30 14:24:28,,2018-01-30 14:24:28,1748,2.16.840.1.113883.2.10.27,1
1750,Primer Piso,A,2018-01-30 14:24:55,,2018-01-30 14:24:55,1748,2.16.840.1.113883.2.10.27,1
1751,Subsuelo,A,2018-01-30 14:25:14,,2018-01-30 14:25:14,1748,2.16.840.1.113883.2.10.27,1
1754,PB,A,2018-01-30 15:01:33,,2018-01-30 15:01:33,1753,2.16.840.1.113883.2.10.27,1
1769,PB,A,2018-02-01 15:07:57,,2018-02-01 15:07:57,1768,2.16.840.1.113883.2.10.27,1
1795,PB,A,2018-02-07 16:03:11,,2018-02-07 16:03:11,1794,2.16.840.1.113883.2.10.27,1
1796,Primer Piso,A,2018-02-07 16:03:36,,2018-02-07 16:03:36,1794,2.16.840.1.113883.2.10.27,1
1814,PB,A,2018-02-08 17:37:08,,2018-02-08 17:37:08,1813,2.16.840.1.113883.2.10.27,1
1836,PB,A,2018-02-22 14:38:38,,2018-02-22 14:38:38,1835,2.16.840.1.113883.2.10.27,1
1837,Primer Piso,A,2018-02-22 14:39:39,,2018-02-22 14:39:39,1835,2.16.840.1.113883.2.10.27,1
1838,Segundo Piso,A,2018-02-22 14:41:39,,2018-02-22 14:41:39,1835,2.16.840.1.113883.2.10.27,1
1857,PB,A,2018-02-22 15:23:23,,2018-02-22 15:23:23,1856,2.16.840.1.113883.2.10.27,1
1858,Primer Piso,A,2018-02-22 15:23:43,,2018-02-22 15:23:43,1856,2.16.840.1.113883.2.10.27,1
1927,PB,A,2018-02-22 16:56:40,,2018-02-22 16:56:40,1926,2.16.840.1.113883.2.10.27,1
1928,Primer Piso,A,2018-02-22 16:57:04,,2018-02-22 16:57:04,1926,2.16.840.1.113883.2.10.27,1
1955,PB,A,2018-02-23 14:40:27,,2018-02-23 14:40:27,1954,2.16.840.1.113883.2.10.27,1
1972,PB,A,2018-02-23 15:09:25,,2018-02-23 15:09:25,1971,2.16.840.1.113883.2.10.27,1
1989,PB,A,2018-03-12 14:34:18,,2018-03-12 14:34:18,1988,2.16.840.1.113883.2.10.27,1
2012,Planta Baja,A,2018-05-21 14:35:23,,2020-03-30 09:51:51,2011,2.16.840.1.113883.2.10.27,1
4419,Segundo Piso,A,2020-03-29 13:07:54,,2020-03-29 13:07:54,2011,2.16.840.1.113883.2.10.27,1
4420,Primer Piso,A,2020-03-29 13:08:27,,2020-03-29 13:08:27,2011,2.16.840.1.113883.2.10.27,1
2119,PB,A,2018-05-22 15:44:17,,2018-05-22 15:44:17,2118,2.16.840.1.113883.2.10.27,1
2120,Primer Piso,A,2018-05-22 15:45:11,,2020-04-15 13:40:43,2118,2.16.840.1.113883.2.10.27,1
2121,Segundo Piso,A,2018-05-22 15:49:21,,2020-04-15 13:23:32,2118,2.16.840.1.113883.2.10.27,1
2122,Tercer Piso,A,2018-05-22 15:49:43,,2020-04-15 13:23:55,2118,2.16.840.1.113883.2.10.27,1
2123,Cuarto Piso,A,2018-05-22 15:50:07,,2020-04-15 13:35:10,2118,2.16.840.1.113883.2.10.27,1
2124,Quinto Piso,A,2018-05-22 15:50:28,,2020-04-16 19:07:38,2118,2.16.840.1.113883.2.10.27,1
2125,6° PISO,A,2018-05-22 15:51:41,,2018-05-22 15:51:41,2118,2.16.840.1.113883.2.10.27,1
2126,Séptimo Piso,A,2018-05-22 15:51:59,,2020-04-15 13:39:20,2118,2.16.840.1.113883.2.10.27,1
1150,PB,A,2017-12-19 11:30:55,,2017-12-19 11:30:55,1130,2.16.840.1.113883.2.10.27,1
2127,8° PISO,A,2018-05-22 15:52:22,,2018-05-22 15:52:22,2118,2.16.840.1.113883.2.10.27,1
2128,9° PISO,A,2018-05-22 15:52:40,,2018-05-22 15:52:40,2118,2.16.840.1.113883.2.10.27,1
2129,10° PISO,A,2018-05-22 15:52:57,,2018-05-22 15:52:57,2118,2.16.840.1.113883.2.10.27,1
2130,Subsuelo,A,2018-05-22 15:55:33,,2020-04-15 13:42:17,2118,2.16.840.1.113883.2.10.27,1
3085,Piso 2,A,2018-10-30 15:46:52,,2018-10-30 15:46:52,2118,2.16.840.1.113883.2.10.27,1
2141,PB,A,2018-05-24 14:54:06,,2018-05-24 14:54:06,2140,2.16.840.1.113883.2.10.27,1
4438,Planta Baja,A,2020-03-29 13:35:44,,2020-03-29 13:35:44,2140,2.16.840.1.113883.2.10.27,1
4439,Primer Piso,A,2020-03-29 13:36:13,,2020-03-29 13:36:13,2140,2.16.840.1.113883.2.10.27,1
4440,Segundo Piso,A,2020-03-29 13:36:37,,2020-03-29 13:36:37,2140,2.16.840.1.113883.2.10.27,1
4441,Tercer Piso,A,2020-03-29 13:36:57,,2020-03-29 13:36:57,2140,2.16.840.1.113883.2.10.27,1
4442,Cuarto Piso,A,2020-03-29 13:38:22,,2020-03-29 13:38:22,2140,2.16.840.1.113883.2.10.27,1
2205,PB,A,2018-05-28 14:54:59,,2018-05-28 14:54:59,2202,2.16.840.1.113883.2.10.27,1
4412,Segundo Piso,A,2020-03-29 13:02:33,,2020-03-29 13:02:33,2202,2.16.840.1.113883.2.10.27,1
4413,Primer Piso,A,2020-03-29 13:03:08,,2020-03-29 13:03:08,2202,2.16.840.1.113883.2.10.27,1
2303,PB,A,2018-05-29 16:51:04,,2018-05-29 16:51:04,2302,2.16.840.1.113883.2.10.27,1
2304,PRIMER PISO,A,2018-05-29 16:51:31,,2018-05-29 16:51:31,2302,2.16.840.1.113883.2.10.27,1
2333,PRIMER PISO,A,2018-05-30 14:24:58,,2018-05-30 14:24:58,2332,2.16.840.1.113883.2.10.27,1
2345,SEGUNDO PISO,A,2018-05-30 14:47:01,,2018-05-30 14:47:01,2332,2.16.840.1.113883.2.10.27,1
2346,Planta Baja,A,2018-05-30 14:55:19,,2020-03-29 14:58:27,2338,2.16.840.1.113883.2.10.27,1
3841,Primer Piso,A,2019-11-26 15:44:41,,2020-03-29 14:59:05,2338,2.16.840.1.113883.2.10.27,1
2348,PB,A,2018-05-30 14:57:46,,2018-05-30 14:57:46,2347,2.16.840.1.113883.2.10.27,1
2349,Primer Piso,A,2018-05-30 14:58:28,,2018-05-30 14:58:28,2347,2.16.840.1.113883.2.10.27,1
2351,Segundo Piso,A,2018-05-30 14:59:05,,2018-05-30 14:59:05,2347,2.16.840.1.113883.2.10.27,1
2352,Tercer Piso,A,2018-05-30 14:59:34,,2018-05-30 14:59:34,2347,2.16.840.1.113883.2.10.27,1
2353,Cuarto Piso,A,2018-05-30 14:59:57,,2018-05-30 14:59:57,2347,2.16.840.1.113883.2.10.27,1
2355,Quinto Piso,A,2018-05-30 15:00:34,,2018-05-30 15:00:34,2347,2.16.840.1.113883.2.10.27,1
2356,Sexto Piso,A,2018-05-30 15:01:24,,2018-05-30 15:01:24,2347,2.16.840.1.113883.2.10.27,1
2357,Septimo Piso,A,2018-05-30 15:01:46,,2018-05-30 15:01:46,2347,2.16.840.1.113883.2.10.27,1
2358,Octavo Piso,A,2018-05-30 15:02:15,,2018-05-30 15:02:15,2347,2.16.840.1.113883.2.10.27,1
2811,Primer Piso,A,2018-06-13 14:35:11,,2018-06-13 14:35:11,2810,2.16.840.1.113883.2.10.27,1
2848,PRIMER PISO,A,2018-06-13 16:18:09,,2018-06-13 16:18:09,2847,2.16.840.1.113883.2.10.27,1
2869,PB,A,2018-06-13 16:47:27,,2018-06-13 16:47:27,2868,2.16.840.1.113883.2.10.27,1
3201,PB EMERGENCIA/HALL HOSP. RAMOS MEJIA,A,2019-10-11 13:32:51,,2019-10-11 13:32:51,2868,2.16.840.1.113883.2.10.27,1
2875,PB,A,2018-06-13 17:14:04,,2018-06-13 17:14:04,2874,2.16.840.1.113883.2.10.27,1
2898,PB,A,2018-06-14 15:03:35,,2018-06-14 15:03:35,2897,2.16.840.1.113883.2.10.27,1
3225,Primer Piso,A,2019-10-11 15:35:18,,2019-10-11 15:35:18,2897,2.16.840.1.113883.2.10.27,1
